Link,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
carolgrieder,lead a team and manage outcomes,discover something new,yes,Yes,Yes,yes,no,no,Yes,work alone
nganfhuang,work in a team and make things happen,discover something new,no,Yes,no,yes,yes,no,Yes,work in a group
yolandabecker,lead a team and manage outcomes,discover something new,no,Yes,Yes,yes,yes,yes,Yes,work alone
reshmasaujani,work in a team and make things happen,create something new,no,Yes,no,no,no,yes,no,work in a group
annlindsay,lead a team and manage outcomes,create something new,yes,Yes,Yes,no,no,yes,Yes,work in a group
lidiafonseca,lead a team and manage outcomes,create something new,yes,no,no,no,no,yes,no,work in a group
andreamcgonigle,lead a team and manage outcomes,create something new,no,Yes,no,no,yes,no,no,work in a group
laurepark,lead a team and manage outcomes,create something new,no,no,no,no,yes,no,Yes,work in a group
sarahwamala,work in a team and make things happen,discover something new,no,no,no,no,no,no,no,work alone
jeaninemartin,work in a team and make things happen,create something new,no,no,no,no,yes,no,no,work in a group
akhilasatish,lead a team and manage outcomes,create something new,no,no,Yes,no,yes,yes,no,work alone
lydiagreen,work in a team and make things happen,discover something new,no,no,no,no,no,no,no,work alone
melvacovington,lead a team and manage outcomes,discover something new,yes,Yes,no,yes,no,yes,Yes,work in a group
tanle,work in a team and make things happen,create something new,no,no,Yes,yes,yes,yes,Yes,work alone
caoimhekiely,lead a team and manage outcomes,create something new,yes,no,no,no,no,yes,no,work in a group
cristalthomas,work in a team and make things happen,discover something new,yes,Yes,Yes,yes,yes,no,no,work alone
reginaholliday,lead a team and manage outcomes,create something new,no,Yes,no,no,no,yes,Yes,work alone
roseannstammen,lead a team and manage outcomes,discover something new,no,Yes,no,no,no,no,no,work in a group
caseypierce,lead a team and manage outcomes,create something new,yes,yes,no,no,yes,no,yes,work in a group
inesdahne,lead a team and manage outcomes,create something new,no,no,no,no,no,no,Yes,work in a group
luciaregales,lead a team and manage outcomes,discover something new,yes,no,no,yes,no,yes,no,work in a group
jenniferasay,lead a team and manage outcomes,create something new,yes,no,yes,yes,yes,no,no,work in a group
aprilleericsson,lead a team and manage outcomes,create something new,yes,Yes,Yes,yes,yes,yes,no,work alone
joycelee,work in a team and make things happen,discover something new,yes,no,Yes,no,yes,no,Yes,work in a group
heidichumley,lead a team and manage outcomes,discover something new,yes,no,Yes,yes,yes,no,no,work alone
jehannineaustin,work in a team and make things happen,discover something new,no,no,no,yes,yes,no,no,work alone
lisacooney,lead a team and manage outcomes,create something new,yes,Yes,Yes,no,no,no,Yes,work alone
joannakelly,lead a team and manage outcomes,discover something new,yes,Yes,no,yes,yes,no,Yes,work in a group
colleendodsonhonore,lead a team and manage outcomes,discover something new,no,Yes,no,yes,yes,no,no,work alone
