Link,Q1,Q2,Q3,Q4,Q5,Q6
annlindsay,reading/writing,play with animals,history,work in a group,create something new,lead a team and manage outcomes
lisacooney,reading/writing,travel,english,work alone,create something new,lead a team and manage outcomes
yolandabecker,dance,play with animals,languages,work alone,discover something new,lead a team and manage outcomes
lynnegordon,dance,go to the theater,english,work in a group,create something new,lead a team and manage outcomes
heidichumley,sports,go on a hike,biology,work alone,discover something new,lead a team and manage outcomes
joannakelley,sports,go on a hike,biology,work in a group,discover something new,lead a team and manage outcomes
joycelee,sports,go to the theater,math,work in a group,discover something new,work in a team and make things happen
reginaholliday,drawing/painting,go to the theater,history,work alone,create something new,lead a team and manage outcomes
kimdu,reading/writing,play with animals,history,work alone,create something new,work in a team and make things happen
romatretiak,reading/writing,go on a hike,math,work in a group,create something new,work in a team and make things happen
melvacovington,music,travel,history,work in a group,discover something new,lead a team and manage outcomes
kristinebordenave,drawing/painting,play with animals,biology,work in a group,discover something new,lead a team and manage outcomes
ushasatish,reading/writing,travel,english,work in a group,create something new,work in a team and make things happen
sarahwamala,sports,go on a hike,math,work in a group,create something new,lead a team and manage outcomes
